Time,ECG,EMG,EDA,fs
0,-0.0007403515194497648,9.359803355999196e-05,716.9289026124098,100.0
1,-0.058964045022012905,0.007225630863798061,716.9140106977958,100.0
2,-0.0998523248643344,0.015261608243783512,716.8983269080672,100.0
3,-0.01125089510484012,0.010102880413463088,716.8818493248161,100.0
4,-0.05052400689828469,0.004368630815860455,716.8645777126426,100.0
5,-0.12002520959353756,0.003857469997537294,716.8465135429377,100.0
6,-0.09508113372921423,0.009889293441018404,716.8276600107929,100.0
7,-0.09515517067102154,0.007552183976221253,716.808022044745,100.0
8,-0.03683275817939749,0.01114710191544883,716.787606309099,100.0
9,-0.047334412895958924,0.012724796139860578,716.7664211986076,100.0
10,-0.08672211548191368,0.0030746933725991307,716.7444768253303,100.0
11,0.010951506681292788,0.0007750253076421296,716.7217849975389,100.0
12,-0.035364577465459436,0.014482995824090145,716.6983591905921,100.0
13,-0.12674942450086493,0.004284963006286275,716.6742145097554,100.0
14,-0.0491941342802597,0.01962753569322846,716.6493676450066,100.0
15,-0.06961169673471494,0.013712545121867164,716.6238368179354,100.0
16,-0.1206478653647969,0.011043082456958864,716.5976417209187,100.0
17,-0.1319632301674506,0.015114168516374414,716.5708034488314,100.0
18,-0.1693918601913843,0.004382917412457463,716.5433444236415,100.0
19,-0.10343642670546385,0.0030912327060783717,716.5152883123262,100.0
20,-0.07951083646018753,0.012653191829783975,716.4866599386465,100.0
21,-0.11667641510309491,0.013914479638530246,716.4574851894214,100.0
22,-0.11047048226864631,0.0012148486983466044,716.4277909160426,100.0
23,-0.090937256525519,0.007689822268665359,716.3976048320583,100.0
24,-0.04967008655950389,0.003898373326113043,716.3669554076874,100.0
25,-0.08550523000586606,0.008501289150472498,716.3358717621053,100.0
26,-0.10597964219913307,0.0019863875299082714,716.3043835542702,100.0
27,-0.07884675527549397,0.019040171350106674,716.2725208729765,100.0
28,-0.08444949597388143,0.012255837031215536,716.2403141267265,100.0
29,-0.03335728579849781,0.014797495959362871,716.2077939339349,100.0
30,-0.031231834990196074,0.012664577280777975,716.1749910139051,100.0
31,-0.07385677976309422,0.005866108816106225,716.14193607895,100.0
32,-0.0793274302700827,0.0017212790478398391,716.1086597279711,100.0
33,-0.07688102954029633,0.00954717029961247,716.0751923417595,100.0
34,-0.024415695206397088,0.0042174673798289295,716.0415639802397,100.0
35,-0.049938447947066644,0.0033325448540239954,716.0078042818446,100.0
36,-0.1409744915833399,0.0016305941699417351,715.9739423651788,100.0
37,-0.0844262709479487,0.001047353057355629,715.9400067331148,100.0
38,0.025407443261945717,0.004146224448426942,715.9060251794531,100.0
39,-0.0026483333091898917,0.0023671668725432633,715.8720246982742,100.0
40,-0.059171485245568714,9.055716930672166e-05,715.8380313961223,100.0
41,-0.0480442937303801,0.0071257592680846376,715.8040704071686,100.0
42,-0.06912052534581876,0.012301147475987902,715.7701658115298,100.0
43,-0.08751495533729521,0.0012061554189336026,715.7363405569454,100.0
44,-0.09593818018183194,0.016881947854214083,715.7026163840601,100.0
45,-0.07392485515991505,0.012332373988059349,715.6690137556002,100.0
46,-0.006724208972236401,0.0005254790342123956,715.6355517897849,100.0
47,-0.08662014553188159,0.0023528569680282005,715.6022481983497,100.0
48,-0.14781166599507828,0.004007458767123562,715.5691192295758,100.0
49,-0.03397829255304428,0.004033615866603844,715.5361796167288,100.0
50,-0.0031747476176579295,0.005396246493835488,715.5034425323148,100.0
51,-0.03773082749311832,0.007890032837294461,715.4709195485731,100.0
52,-0.0018263667590711667,0.009456887078345832,715.4386206046169,100.0
53,0.009914581918625017,0.02177562295657781,715.4065539806077,100.0
54,-0.015950879279631,0.0070634341682802495,715.374726279284,100.0
55,-0.0065533172687850345,0.015359715371136869,715.3431424150812,100.0
56,-0.01175181923914732,0.017243751957169116,715.3118056109779,100.0
57,-0.016457091110990554,0.0005415762227979867,715.2807174031084,100.0
58,0.026262198287740467,0.010743580585478849,715.2498776530861,100.0
59,0.03676767203820003,0.004563782186858895,715.2192845679025,100.0
60,0.037573080049192034,0.006515290016899776,715.1889347271888,100.0
61,0.04227970986901954,0.011030052456266688,715.158823117558,100.0
62,0.0336303440435473,0.009285988557122789,715.1289431736866,100.0
63,0.06423104187110812,0.00413304755490135,715.0992868257387,100.0
64,0.059992164420576116,0.02366324005004395,715.069844552692,100.0
65,-0.002706461105573554,0.01956892330557416,715.0406054410853,100.0
66,0.02826677728580557,0.00985335443442942,715.011557248675,100.0
67,0.10874262065127807,0.021704819569832803,714.9826864724645,100.0
68,0.0749043426025925,0.001966981443577768,714.9539784205538,100.0
69,0.046849336053255614,0.009691140034942824,714.9254172872453,100.0
70,0.06469633548982964,0.00475106729158976,714.8969862308412,100.0
71,0.07117554948717576,0.011746050754790384,714.8686674535693,100.0
72,0.09553389353468612,0.0029502504390948466,714.8404422830871,100.0
73,0.008257329084929453,0.008517237464170449,714.8122912550319,100.0
74,0.008938962473967036,0.0008818992652892938,714.7841941961094,100.0
75,0.1686246816716256,0.0032030573593099737,714.7561303072448,100.0
76,0.14389054785715544,0.012977118002338191,714.7280782463607,100.0
77,0.06571037786982314,0.0010540791956901677,714.7000162103902,100.0
78,0.01653671952100782,0.013419278247057628,714.671922016187,100.0
79,-0.001054945600371702,0.00548767014978762,714.6437731800531,100.0
80,0.05149766434597263,0.003013684891595937,714.6155469956728,100.0
81,0.013941853375698098,0.004321338422147231,714.5872206103107,100.0
82,0.040898779217233686,0.006129846762003993,714.5587710992154,100.0
83,0.00561836783529032,0.005766122453125427,714.5301755382463,100.0
84,-0.057520420480906206,0.010175420963630843,714.5014110748084,100.0
85,0.14019695519878153,4.88268446861223e-05,714.4724549972178,100.0
86,0.13536314493811308,0.005453063272452609,714.4432848026378,100.0
87,0.015324583107659927,0.004141385846689265,714.4138782637214,100.0
88,0.05974301172882977,0.010518135872951263,714.3842134941005,100.0
89,-0.011962880883325233,0.0006128126681655883,714.3542690128639,100.0
90,0.007923972407794237,0.011671277087116187,714.3240238081758,100.0
